"places";"postcode"
"Belau,Ruhwinkel,Stolpe,Wankendorf";"24601"
"Beldorf,Bendorf,Bornholt,Gokels,Hanerau-Hademarschen,Keller,Oldenbüttel,Seefeld,Steenfeld,Thaden";"25557"
"Belgern";"04874,04874"
"Belgershain,Fuchshain,Naunhof";"04683"
"Bell,Hausten,Rieden,Volkesfeld,Weibern";"56745"
"Bellenberg";"89287,89287"
"Bellers,Wildeck";"36208"
"Bellevue,Bönnigheim";"74357"
"Bellheim";"76756,76756"
"Bellin,Charlottenthal,Dobbin,Hoppenrade,Klein Tessin,Krakow,Kuchelmiß,Linstow";"18292"
"Belling,Brietzig,Damerow,Fahrenwalde,Jatznick,Koblentz,Krugsdorf,Marienthal,Nieden,Papendorf,Pasewalk,Polzow,Rollwitz,Schönwalde,Viereck,Zerrenthin,Züsedom";"17309"
"Belm";"49191,49191"
"Beltheim,Buch,Dommershausen,Gödenroth,Lieg,Lütz,Macken,Mörsdorf,Uhler";"56290"
"Belum,Neuhaus";"21785"
"Belzhof,Fleckenbacher Sägmühle,Gauchshausen,Rosenberg";"73494"
"Bembermühle,Höhr-Grenzhausen,Waldfriede";"56203"
"Bembsmühle,Bembsmühle,Bendorf,Lachnitzmühle";"56170"
"Bempflingen";"72658,72658"
"Benckendorf,Dassow,Dönkendorf,Feldhusen,Groß Schwansee,Harkensee,Johannstorf,Kalkhorst,Klein Schwansee,Neuenhagen,Pötenitz,Rosenhagen,Volkstorf";"23942"
"Bendelin,Friedrichswalde,Glöwen,Groß Leppin,Hermshof,Netzow,Scharleuk,Schwanensee,Söllenthin,Storbeckshof,Zernikow,Zichtow";"19339"
"Bendhof,Botelsdorf,Breesen,Dragun,Dutzow,Gadebusch,Goddin,Groß Eichsen,Groß Salitz,Groß Thurow,Hindenberg,Kaeselow,Klein Salitz,Klein Thurow,Kneese,Krembz,Marienthal,Meetzen,Mühlen Eichsen,Neu Thurow,Passow,Pokrent,Radegast,Rambeel,Roggendorf,Rögnitz,Rosenow,Schönfeld,Schönwolde,Veelböken,Webelsfelde";"19205"
"Benediktbeuern";"83671,83671"
"Benjental,Looganlage,Neustadt";"67435"
"Benneckenstein";"38877,38877"
"Benningen";"71726,87734,71726,87734"
"Bennungen,Berga,Breitungen,Dietersdorf,Hayn,Questenberg,Roßla,Wickerode,Wolfsberg";"06536"
"Bensdorf,Herrenhölzer,Mahlenzien,Mahlenzien,Neubensdorf,Rosenau,Vehlen,Woltersdorf,Wusterwitz";"14789"
"Benshausen";"98554,98554"
"Bensheim";"64625,64625"
"Bentwisch,Blankenhagen,Gelbensande,Mönchhagen,Rostock,Rövershagen,Wiethagen,Wiethagen";"18182"
"Benz,Katschow,Mellenthin,Neppermin,Pudagla,Seebad Bansin";"17429"
"Benz,Greese,Kritzow,Levetzow,Rüggow,Wismar";"23970"
"Benzin,Bestenrade,Brützkow,Bülow,Campow,Carlow,Dechow,Demern,Gletzow,Groß Hundorf,Groß Molzahn,Groß Rünz,Holdorf,Kasendorf,Klein Molzahn,Köchelstorf,Kuhlrade,Löwitz,Neschow,Nesow,Neu Vitense,Othenstorf,Parber,Pogez,Raddingsdorf,Rehna,Rieps,Samkow,Schaddingsdorf,Schlagsdorf,Stove,Thandorf,Törber,Utecht,Vitense,Wedendorf,Woitendorf";"19217"
"Benzweiler,Dichtelbach,Erbach,Liebshausen,Mörschbach,Rheinböllen,Wahlbach";"55494"
"Beratzhausen";"93176,93176"
"Berching";"92334,92334"
"Berchtesgaden,Engedey,Kärlingerhaus,Purtschellerhaus,Schönau,Stanggaß,Stöhrhaus";"83471"
"Berg";"76768,82335,88276,95180,53505"
"Berg,Brunnstadt,Eder,Hirschau,Lauter,Reut,Schnatzlreut,Surberg,Zell";"83362"
"Berg,Großwiesenhof";"92348"
"Berg im Gau";"86562,86562"
"Berga,Großkundorf,Kühdorf,Lunzig,Neugernsdorf,Neumühle,Waltersdorf,Wildetaube";"07980"
"Bergatreute";"88368,88368"
"Berge,Bergerdamm,Börnicke,Brädikow,Bredow,Buchow-Karpzow,Dyrotz,Ebereschenhof,Etzin,Falkenrehde,Gohlitz,Groß Behnitz,Grünefeld,Hanffabrik,Hertefeld,Hoppenrade,Kienberg,Klein Behnitz,Lietzow,Markau,Markee,Nauen,Neu Falkenrehde,Niebede,Paaren im Glien,Paulinenaue,Pausin,Perwenitz,Pessin,Priort,Quermathen,Retzow,Ribbeck,Selbelang,Teufelshof,Tietzow,Tremmen,Utershorst,Wachow,Wagenitz,Wansdorf,Wernitz,Wustermark,Zeestow";"14641"
"Berge,Bippen";"49626"
"Bergen,Oberlauterbach,Trieb";"08239"
"Bergen,Buschvitz,Lietzow,Parchtitz,Patzig,Ralswiek,Rappin,Sehlen,Thesenvitz,Zirkow";"18528"
"Bergen,Lohheide, gemfr. Bezirk,Miele,Rehwinkel";"29303"
"Bergen";"29468,03246"
"Bergen,Brünndling-Alm,Hochfellnhaus";"83346"
"Bergen,Burgsalach,Nennslingen,Raitenbuch";"91790"
"Bergenhusen,Fünfmühlen,Papenbrook,Reppel,Wassermühle";"24861"
"Bergewöhrden,Fedderingen,Glüsing,Hägen,Hennstedt,Kleve,Norderheistedt,Schlichting,Süderheistedt,Westermoor,Wiemerstedt";"25779"
"Bergfeld";"38467,38467"
"Bergfelde";"16562,16562"
"Berghaupten";"77791,77791"
"Berghausen,Ergeshausen,Herold,Katzenelnbogen,Klingelbach,Niedertiefenbach,Roth";"56368"
"Bergheim";"50126,50127,50129,86673,50126,50127,50129,86673"
"Berghof,Erlenhof,Wernau";"73249"
"Bergholz,Löcknitz,Plöwen,Ramin,Rothenklempenow";"17321"
"Bergholz-Rehbrücke";"14558,14558"
"Berghülen";"89180,89180"
"Bergisch Gladbach";"51427,51429,51465,51469,51427,51429,51465,51469"
"Bergisch Gladbach,Köln";"51467"
"Bergisdorf,Bornitz,Breitenbach,Döschwitz,Draschwitz,Droßdorf,Geußnitz,Göbitz,Grana,Haynsburg,Heuckewalde,Könderitz,Kretzschau,Schellbach,Schkauditz,Wittgendorf,Würchwitz,Zangenberg,Zeitz";"06712"
"Bergkamen";"59192,59192"
"Bergkirchen";"85232,85232"
"Berglage,Burlage,Evershorst,Kuhlhorst,Lembruch,Mecklinge,Quernheimerbruch";"49459"
"Berglangenbach,Frauenberg,Hahnweiler,Reichenbach,Rohrbach,Rückweiler,Ruschberg,Zinkweilerhof";"55776"
"Berglen";"73663,73663"
"Berglern";"85459,85459"
"Berglicht,Breit,Büdlich,Dhronecken,Gräfendhron,Heidenburg,Hilscheid,Immert,Malborn,Merschbach,Naurath,Neunkirchen,Schönberg,Talling";"54426"
"Bergmühle,Lettweiler,Obermoschel,Schiersfeld,Sitters,Unkenbach";"67823"
"Bergneustadt";"51702,51702"
"Bergrade Dorf,Damm,Domsühl,Frauenmark,Friedrichsruhe,Goldenbow,Grebbin,Groß Niendorf,Herzberg,Hof Grabow,Kadow,Kladrum,Klinken,Lenschow,Mestlin,Neu Ruthenbeck,Raduhn,Ruest,Severin,Vimfow,Zieslübbe,Zölkow";"19374"
"Bergrheinfeld";"97493,97493"
"Bergtheim,Oberpleichfeld";"97241"
"Bergwitz,Gossa,Gräfenhainichen,Gröbern,Jüdenberg,Radis,Rotta,Schköna,Selbitz,Uthausen";"06773"
"Bergzow,Brandenstein,Brettin,Demsin,Genthin,Gladau,Hohenseeden,Kade,Karow,Klitsche,Mützel,Paplitz,Parchen,Roßdorf,Schlagenthin,Tucheim,Zabakuck";"39307"
"Beringstedt";"25575,25575"
"Berka,Dankmarshausen,Dippach,Großensee";"99837"
"Berka v d Hainich,Bischofroda,Ebenshausen,Frankenroda,Hallungen,Lauterbach,Mihla,Nazza";"99826"
"Berkatal";"37297,37297"
"Berkheim,Binnrot";"88450"
"Berkholz-Meyenburg,Biesendahlshof,Blumberg,Blumenhagen,Casekow,Criewen,Flemsdorf,Fredersdorf,Friedrichsthal,Gatow,Golm,Groß Pinnow,Hohenfelde,Hohenselchow,Kummerow,Kunow,Luckow-Petershagen,Mürowsche Kavelheide,Niederfelde,Schönow,Stendell,Vierraden,Wartin,Welsebruch,Woltersdorf,Zichow,Zützen";"16306"
"Berlin";"10115,10117,10119,10178,10179,10243,10245,10247,10249,10315,10317,10318,10319,10365,10367,10369,10405,10407,10409,10435,10437,10439,10551,10553,10555,10557,10559,10585,10587,10589,10623,10625,10627,10629,10707,10709,10711,10713,10715,10717,10719,10777,10779,10781,10783,10785,10787,10789,10823,10825,10827,10829,10961,10963,10965,10967,10969,10997,10999,12043,12045,12047,12049,12051,12053,12055,12057,12059,12099,12101,12103,12105,12107,12109,12157,12159,12161,12163,12165,12167,12169,12203,12205,12207,12209,12247,12249,12277,12279,12305,12307,12309,12347,12349,12351,12353,12355,12357,12359,12435,12437,12439,12459,12487,12489,12524,12526,12527,12555,12557,12559,12587,12589,12619,12621,12623,12627,12629,12679,12681,12683,12685,12687,12689,13051,13053,13055,13057,13059,13086,13088,13089,13125,13127,13129,13156,13158,13159,13187,13189,13347,13349,13351,13353,13355,13357,13359,13403,13405,13407,13409,13435,13437,13439,13465,13467,13469,13503,13505,13507,13509,13581,13583,13585,13587,13589,13591,13593,13595,13597,13599,13627,13629,14050,14052,14053,14055,14057,14059,14089,14109,14129,14163,14165,14167,14169,14193,14195,14197,14199,10115,10117,10119,10178,10179,10243,10245,10247,10249,10315,10317,10318,10319,10365,10367,10369,10405,10407,10409,10435,10437,10439,10551,10553,10555,10557,10559,10585,10587,10589,10623,10625,10627,10629,10707,10709,10711,10713,10715,10717,10719,10777,10779,10781,10783,10785,10787,10789,10823,10825,10827,10829,10961,10963,10965,10967,10969,10997,10999,12043,12045,12047,12049,12051,12053,12055,12057,12059,12099,12101,12103,12105,12107,12109,12157,12159,12161,12163,12165,12167,12169,12203,12205,12207,12209,12247,12249,12277,12279,12305,12307,12309,12347,12349,12351,12353,12355,12357,12359,12435,12437,12439,12459,12487,12489,12524,12526,12527,12555,12557,12559,12587,12589,12619,12621,12623,12627,12629,12679,12681,12683,12685,12687,12689,13051,13053,13055,13057,13059,13086,13088,13089,13125,13127,13129,13156,13158,13159,13187,13189,13347,13349,13351,13353,13355,13357,13359,13403,13405,13407,13409,13435,13437,13439,13465,13467,13469,13503,13505,13507,13509,13581,13583,13585,13587,13589,13591,13593,13595,13597,13599,13627,13629,14050,14052,14053,14055,14057,14059,14089,14109,14129,14163,14165,14167,14169,14193,14195,14197,14199"
"Berlinchen,Blandikow,Blesendorf,Christdorf,Dossow,Dranse,Fretzdorf,Gadow,Glienicke,Goldbeck,Grabow,Groß Haßlow,Heiligengrabe,Herzsprung,Jabel,Klein Haßlow,Königsberg,Liebenthal,Maulbeerwalde,Niemerlang,Papenbruch,Rossow,Schweinrich,Sewekow,Wernikow,Wittstock,Wulfersdorf,Zaatzke,Zootzen";"16909"
"Berlingen,Betteldorf,Bleckhausen,Bleckhausener Mühle,Densborn,Deudesfeld,Hinterweiler,Hohenfels-Essingen,Kalenborn-Scheuern,Kirchweiler,Meisburg,Mürlenbach,Neroth,Niederstadtfeld,Oberstadtfeld,Pelm,Rockeskyll,Salm,Sauerseifen,Schutz,Wallenborn,Weidenbach";"54570"
"Berlingerode,Bleckenrode,Böseckendorf,Brehme,Breitenworbis,Buchmühle,Buhla,Ecklingerode,Ferna,Gernrode,Haynrode,Hundeshagen,Kaltohmfeld,Kirchohmfeld,Kirchworbis,Neuendorf,Tastungen,Teistungen,Wehnde,Wintzingerode,Worbis";"37339"
"Bermatingen";"88697,88697"
"Bermbach,Borsch,Bremen,Buttlar,Geisa,Geismar,Gerstengrund,Ketten,Kranlucken,Motzlar,Schleid,Spahl,Wenigentaft,Zitters";"36419"
"Bermersheim,Westhofen";"67593"
"Bernau,Börnicke,Danewitz,Ladeburg,Lindenberg,Lobetal,Rüdnitz,Schönow";"16321"
"Bernau";"79872,83233,16321"
"Bernbeuren";"86975,86975"
"Bernburg";"06406,06406"
"Berne";"27804,27804"
"Berneck,Geislingen,Obere Roggenmühle,Schonterhöhe";"73312"
"Berngau";"92361,92361"
"Bernhalden,Mittelfischbach,Sulzbach,Unterfischbach";"71560"
"Bernhardswald";"93170,93170"
"Bernitt,Boitin,Buchenhof,Dreetz,Eickelberg,Eickhof,Katelbogen,Klein Raden,Laase,Lübzin-Rosenow,Penzin,Qualitz,Schlemmin,Schlockow,Tarnow,Viezen,Warnow,Zernin";"18249"
"Bernkastel-Kues,Graach,Hirzlei,Lieser";"54470"
"Bernöwe,Freienhagen,Friedrichsthal,Hertefeld,Hohenbruch,Malz,Nassenheide,Neuendorf,Neuholland,Oranienburg,Schmachtenhagen,Teschendorf,Wensickendorf,Zehlendorf,Zühlsdorf";"16515"
"Bernried";"82347,94505,82347,94505"
"Bernsbach";"08315,08315"
"Bernsdorf,Wiednitz";"02994"
"Bernsdorf,Callenberg,Hohenstein-Ernstthal";"09337"
"Bernstadt";"02748,89182,02748,89182"
"Bernterode,Deuna,Gerterode,Kleinbartloff,Niederorschel,Vollenborn";"37355"
"Berod,Bilkheim,Dreikirchen,Hundsangen,Meudt,Molsberg,Niederahr,Oberahr,Obererbach,Salz,Steinefrenz,Wallmerod,Weroth,Zehnhausen";"56414"
"Berschweiler,Eckersweiler,Fohren-Linden,Mettweiler";"55777"
"Bersenbrück";"49593,49593"
"Berßel,Bühne,Deersheim,Hessen,Lüttgenrode,Osterode,Osterwieck,Rhoden,Schauen,Veltheim,Wülperode,Zilly";"38835"
"Berthelsdorf,Großhennersdorf,Herrnhut,Rennersdorf,Strahwalde";"02747"
"Bertholling,Erlhof,Haseneck,Naßkamping,Punzing,Rathsmannsdorf,Schwarzhöring,Söldenham";"94565"
"Bertingen,Birkholz,Bittkau,Bölsdorf,Brunkau,Buch,Burgstall,Cobbel,Cröchern,Dolle,Grieben,Jerchel,Kehnert,Klein Schwarzlosen,Lüderitz,Mahlwinkel,Ringfurth,Sandbeiendorf,Schelldorf,Schernebeck,Schönwalde,Tangerhütte,Uchtdorf,Uetz,Weißewarte,Wenddorf";"39517"
"Bertsdorf-Hörnitz,Eckartsberg,Mittelherwigsdorf,Oberseifersdorf,Radgendorf,Zittau";"02763"
"Berumbur,Hage,Hagermarsch,Halbemond,Lütetsburg";"26524"
"Berzhausen,Burglahr,Eichen,Eulenberg,Flammersfeld,Giershausen,Kescheid,Orfgen,Peterslahr,Reiferscheid,Rott,Schürdt,Seelbach,Seifen,Walterschen,Ziegenhain";"57632"
"Bescheid,Beuren,Damflos,Geisfeld,Grimburg,Gusenburg,Rascheid";"54413"
"Beschendorf,Damlos,Harmsdorf,Kabelhorst,Lensahn,Manhagen,Riepsdorf";"23738"
"Besdorf,Holstenniendorf";"25584"
"Beselich";"65614,65614"
"Besenthal,Gudow";"23899"
"Beseritz,Blankenhof,Brunn,Neddemin,Neuenkirchen,Neverin,Sponholz,Staven,Trollenhagen,Warlin,Woggersin,Wulkenzin,Zirzow";"17039"
"Besigheim";"74354,74354"
"Bessenbach";"63856,63856"
"Bestensee,Gräbendorf,Motzen,Pätz";"15741"
"Bestwig";"59909,59909"
"Bethanien,Breitenfeld,Landwüst,Markneukirchen,Wernitzgrün";"08258"
"Betheln";"31032,31032"
"Bethenhausen,Brahmenau,Gera,Hirschfeld,Kauern,Korbußen,Pölzig,Schwaara";"07554"
"Betten,Dollenchen,Eichholz-Drößig,Finsterwalde,Fischwasser,Göllnitz,Gorden-Staupitz,Gröbitz,Lichterfeld,Lieskau,Lindthal,Lugau,Massen,Münchhausen,Oppelhain,Ponnsdorf,Rückersdorf,Sallgast,Schacksdorf";"03238"
"Bettenfeld,Biermühle,Dierfeld,Eisenschmitt,Gipperath,Gransdorf,Greimerath,Hasborn,Laufeld,Niederöfflingen,Niederscheidweiler,Oberkail,Oberöfflingen,Oberscheidweiler,Salmberg,Schwarzenborn,Willwerscheid";"54533"
"Bettingen,Brimingen,Burg,Enzen,Halsdorf,Hisel,Niehl,Olsdorf,Stockem,Wettlingen";"54646"
"Betzendorf";"21386,21386"
"Betzenhausen,Egg";"87743"
"Betzenstein";"91282,91282"
"Betzigau";"87488,87488"
"Betzin,Brunne,Dechtow,Fehrbellin,Hakenberg,Jahnberge,Karwesee,Königshorst,Lentzke,Linum,Protzen,Stöffin,Tarmow,Walchow";"16833"
"Betzweiler-Wälde,Salzenweiler";"72291"
"Beucha";"04824,04824"
"Beuernfeld,Bolleroda,Eckardtshausen,Ettenhausen a d Nesse,Ettenhausen a d Suhl,Förtha,Großenlupnitz,Krauthausen,Lauchröden,Marksuhl,Oberellen,Unterellen,Wenigenlupnitz,Wolfsburg-Unkeroda";"99819"
"Beulbar-Ilmsdorf,Bürgel,Droschka,Graitschen b Bürgel,Hetzdorf,Hohendorf,Langethalsmühle,Lochmühle,Nausnitz,Ölmühle,Petersberg,Poxdorf,Rauschwitz,Rodigast-Lucka,Serba,Taupadel,Thalbürgel,Wilhelmshöhe";"07616"
"Beulich,Dieler,Gondershausen,Halsenbach,Kratzenburg,Mermuth,Morshausen,Ney,Nörtershausen,Wildenbungert";"56283"
"Beuna,Geusa,Gut Werder,Merseburg,Meuschau,Trebnitz";"06217"
"Beuren,Birkungen,Breitenbach,Hausen,Kallmerode,Leinefelde,Wingerode";"37327"
"Beuren,Gevenich,Gillenbeuren,Kliding,Schmitt,Urschmitt,Weiler";"56825"
"Beuren";"72660,54413"
"Beuron";"88631,88631"
"Beutel,Boitzenburger Land,Densow,Flieth,Friedenfelde,Gandenitz,Gerswalde,Gollin,Groß Dölln,Groß Fredenwalde,Groß Kölpin,Grunewald,Hammelspring,Herzfelde,Kaakstedt,Klosterwalde,Krohnhorst,Milmersdorf,Mittenwalde,Petznick,Ringenwalde,Röddelin,Stegelitz,Storkow,Tackmannshof,Temmen,Templin,Vietmannsdorf";"17268"
"Beutenmühle,Lorch";"73547"
"Bevern,Brille";"37639"
"Beverungen";"37688,37688"
"Bexbach";"66450,66450"
"Beyernaumburg,Birkenschäferei,Blankenheim,Breitenbach,Brücken,Drebsdorf,Edersleben,Emseloh,Gonna,Grillenberg,Großleinungen,Hackpfüffel,Hainrode,Holdenstedt,Horla,Kleinleinungen,Landgemeinde,Lengefeld,Liedersdorf,Martinsrieth,Morungen,Neuhaus,Oberröblingen,Obersdorf,Pölsfeld,Riestedt,Riethnordhausen,Rotha,Sotterhausen,Wallhausen,Wettelrode";"06528"
"Bias,Bornum,Buhlendorf,Deetz,Dobritz,Dornburg,Gehrden,Gödnitz,Grimme,Güterglück,Hohenlepte,Jütrichau,Leps,Lindau,Lübs,Luso,Moritz,Nedlitz,Nutha,Polenzko,Prödel,Pulspforde,Reuden,Steutz,Straguth,Walternienburg,Zernitz";"39264"
"Biberach";"77781,77781"
"Biberach,Scholterhaus";"88400"
"Biberau,Masserberg,Waffenrod";"98666"
"Biberbach";"86485,86485"
"Bibertal";"89346,89346"
"Biblis";"68647,68647"
"Bibow,Büschow,Dämelow,Groß Labenz,Hasenwinkel,Jesendorf,Kleekamp,Klein Labenz,Lindenhof,Mankmoos,Neperstorf,Neu Pennewitt,Neuhof,Nisbill,Pennewitt,Trams,Ventschow,Warin,Weiße Krug";"19417"
"Biburg,Siegenburg";"93354"
"Bichl";"83673,83739"
"Bicken,Blick,Boren,Brebel,Dollrottfeld,Ekenis,Flarupholz,Hye,Kiesby,Norderbrarup,Nottfeld,Saustrup,Scheggerott,Süderbrarup,Wagersrott";"24392"
"Bickenbach";"64404,56291"
"Bidingen";"87651,87651"
"Biebelried,Kitzingen";"97318"
"Biebelsheim,Frei-Laubersheim,Fürfeld,Hackenheim,Neu-Bamberg,Pfaffen-Schwabenheim,Tiefenthal,Volxheim";"55546"
"Bieberehren";"97243,97243"
"Biebergemünd";"63599,63599"
"Biebern,Fronhofen,Keidelheim,Külz,Kümbdchen,Neuerkirch,Ravengiersburg,Reich,Sargenroth,Tiefenbach,Wüschheim";"55471"
"Bieberstein,Burkersdorf, Mulde,Dittmannsdorf,Drehfeld,Neukirchen,Reinsberg,Steinbach,Wolfsgrün";"09629"
"Biebertal";"35444,35444"
"Biebesheim";"64584,64584"
"Biedenkopf,Waldhaus Grebe";"35216"
"Biederbach,Elzach";"79215"
"Biederitz,Gerwisch,Gübs,Königsborn,Körbelitz,Menz,Wahlitz,Woltersdorf";"39175"
"Biedershausen,Erlenmühle,Hellbornerhof,Kneispermühle,Knoppermühle,Knopp-Labach,Konradsmühle,Seitershof,Wallhalben,Würschhauserhof,Würschhausermühle";"66917"
"Biegen,Frankfurt,Jacobsdorf,Petersdorf,Pillgram,Sieversdorf,Treplin";"15236"
"Biehlen,Frauendorf,Grünewald,Guteborn,Hermsdorf,Hohenbocka,Jannowitz,Kroppen,Lindenau,Lipsa,Peickwitz,Ruhland,Schwarzbach,Tettau";"01945"
"Bielefeld";"33602,33604,33605,33607,33609,33611,33613,33615,33617,33619,33647,33649,33659,33689,33699,33719,33729,33739,33602,33604,33605,33607,33609,33611,33613,33615,33617,33619,33647,33649,33659,33689,33699,33719,33729,33739"
"Bielen,Etzelsrode,Friedrichsthal,Fronderode,Großwechsungen,Günzerode,Haferungen,Hainrode,Herreden,Hesserode,Himmelgarten,Hochstedt,Hörningen,Immenrode,Kleinfurra,Kleinwechsungen,Leimbach,Mauderode,Mörbach,Nohra,Petersdorf,Pützlingen,Steinbrücken,Sundhausen,Wernrode,Werther,Wolkramshausen,Wollersleben";"99735"
"Bienenbüttel";"29553,29553"
"Biere,Eggersdorf,Eickendorf,Großmühlingen,Kleinmühlingen,Ranies,Welsleben,Zens";"39221"
"Biersackschlag,Wolfsegg";"93195"
"Bierschbacher Mühle,Dankerath,Daubiansmühle,Döttinger Höhe,Drees,Dümpelfeld,Harscheid,Hümmel,Insul,Kaltenborn,Meuspath,Müllenbach,Nürburg,Ohlenhard,Reifferscheid,Rodder,Schuld,Senscheid,Sierscheid,Trierscheid,Wershofen,Winnerath";"53520"
"Biesenrode,Gorenzen,Mansfeld,Möllendorf,Piskaborn,Rödgen,Vatterode";"06343"
"Biesenthal,Lanke";"16359"
"Biessenhofen";"87640,87640"
"Bietigheim";"76467,76467"
"Bietigheim-Bissingen";"74321,74321"
"Billerbeck";"48727,48727"
"Billigheim";"74842,74842"
"Billigheim-Ingenheim,Birkweiler,Eschbach,Göcklingen,Heuchelheim-Klingen,Ilbesheim,Impflingen,Ziegelhütte";"76831"
"Bilsen,Hemdingen,Langeln";"25485"
"Bilzingsleben,Kannawurf,Oldisleben,Sachsenburg";"06578"
"Binau";"74862,74862"
"Bindfelde,Hämerten,Heeren,Langensalzwedel,Miltern,Storkau,Tangermünde";"39590"
"Bindlach";"95463,95463"
"Bindow,Blossin,Dannenreich,Dolgenbrodt,Friedersdorf,Friedrichshof,Gussow,Senzig,Wolzig";"15754"
"Bingen";"55411,72511,55411,72511"
"Bingenheimer Mühle,Eiserhof,Reichelsheim,Winterhof";"61203"
"Binnen";"31619,31619"
"Binningen,Brohl,Brückenmühle,Dünfus,Forst,Möntenich,Pilligerheck,Roes,Rotherhof,Sauersmühle";"56754"
"Binswangen,Villenbach,Wertingen,Zusamaltheim";"86637"
"Binzen";"79589,79589"
"Birenbach";"73102,73102"
"Birgel,Lissendorf";"54587"
"Birgland";"92262,92262"
"Birkachhof,Steinächle,Winnenden";"71364"
"Birkenau";"69488,69488"
"Birkenbeul,Friedenthal,Niederirsen,Pracht";"57589"
"Birkenfeld,Dambach,Dienstweiler,Eborn,Elchweiler,Ellenberg,Ellweiler,Oberhambach,Rimsberg,Sauerbrunnen,Schmißberg,Waldfriede";"55765"
"Birkenfeld";"75217,97834,55765"
"Birkenhain,Friderikenhof,Großbeeren,Heinersdorf,Osdorf";"14979"
"Birkenheide";"67134,67134"
"Birken-Honigsessen,Mühlenthal";"57587"
"Birkenhügel,Blankenberg,Blankenstein,Harra,Lichtenbrunn,Pottiga,Schlegel,Seibis";"07366"
"Birkenstein,Dahlwitz-Hoppegarten,Hönow,Münchehofe, Mark,Neuenhagen";"15366"
"Birkenstöcke,Hanchesmühle,Kefenrod,Loosemühle";"63699"
"Birkenwerder";"16547,16547"
"Birkholz,Hermsdorf,Kleinwasserburg,Märkisch Buchholz,Münchehofe";"15748"
"Birkholz,Diedersdorf,Diepensee,Groß Kienitz,Großziethen,Jühnsdorf,Kleinziethen,Mahlow,Selchow,Waßmannsdorf";"15831"
"Birkholz,Blüthen,Boberow,Bootz,Dallmin,Dambeck,Dargardt,Garlin,Glövzin,Gosedahl,Groß Warnow,Karstädt,Karwe,Klein Warnow,Klockow,Klüß,Kribbe,Mankmuß,Mesekow,Neu Pinnow,Neu Premslin,Neuhof,Pinnow,Postlin,Premslin,Pröttlin,Reckenzin,Sargleben,Seetz,Simonshof,Stavenow,Streesow,Strehlen,Waterloo,Wittmoor,Zapel";"19357"
"Birkigt,Könitz";"07336"
"Birlenbach,Fachingen";"65626"
"Birnbach,Busenhausen,Eichelhardt,Giesenhausen,Helmenzen,Helmeroth,Hemmelzen,Heupelzen,Hilgenroth,Idelberg,Ingelbach-Bahnhof,Isert,Kettenhausen,Kroppach,Marienthal,Obererbach,Ölsen,Racksen,Volkerzen";"57612"
"Birnbach,Obertaufkirchen,Schwindegg";"84419"
"Birresborn,Kopp,Rom";"54574"
"Birstein";"63633,63633"
"Birtlingen,Bitburg,Metterich,Niederstedem,Oberstedem";"54634"
"Bischberg";"96120,96120"
"Bischbrunn,Karlshöhe,Schleifthor";"97836"
"Bischdorf,Bolschwitz,Bronkow,Buchwäldchen Ziegelei,Buckow,Calau,Craupe,Dubrau,Gollmitz,Gosda,Groß Jehser,Groß-Mehßow,Kemmen,Laasow,Lipten,Lug,Missen,Mlode,Ogrosen,Repten,Saßleben,Werchow,Zinnitz";"03205"
"Bischheim,Gauersheim,Hessenhütte,Ilbesheim,Josefsmühle,Mauchenheim,Morschheim,Oberwiesen,Orbis,Pfalzfeld,Rittersheim,Stetten,Steuerwaldsmühle";"67294"
"Bischheim-Häslich,Crostwitz,Elstra,Gersdorf-Möhrsdorf,Nebelschütz,Oßling,Panschwitz-Kuckau,Räckelwitz,Ralbitz-Rosenthal,Schönteichen,Steina";"01920"
"Bischoffen";"35649,35649"
"Bischofferode,Bockelnhagen,Großbodungen,Holungen,Jützenbach,Neustadt,Silkerode,Steinrode,Stöckey,Weißenborn-Lüderode,Zwinge";"37345"
"Bischofrode,Bornstedt,Burgsdorf,Dederstedt,Hedersleben,Hornburg,Lutherstadt Eisleben,Neehausen,Osterhausen,Polleben,Rothenschirmbach,Rottelsdorf,Schmalzerode,Schwittersdorf,Unterrißdorf,Volkstedt,Wolferode";"06295"
"Bischofsgrün";"95493,95493"
"Bischofsheim";"65474,97653,65474,97653"
"Bischofsmais";"94253,94253"
"Bischofswerda,Demitz-Thumitz,Naundorf,Putzkau,Rammenau,Schmölln,Tröbigau";"01877"
"Bischofswiesen";"83483,83483"
"Bischweier";"76476,76476"
"Bisingen";"72406,72406"
"Bismark,Blankensee,Boock,Glasow,Grambow,Lebehn,Mewegen,Pampow,Rossow";"17322"
"Bismark,Holzhausen,Könnigde";"39629"
"Bispingen";"29646,29646"
"Bissee,Bordesholm,Brügge,Groß Buchwald,Hoffeld,Mühbrook,Schönbek,Wattenbek";"24582"
"Bissendorf";"49143,49143"
"Bissersheim,Bruchmühle,Kirchheim";"67281"
"Bissingen,Diepoldsburg,Engelhof,Torfgrube";"73266"
"Bissingen";"86657,74321,74321"
"Bisterschied,Dörrmoschel,Felsbergerhof,Karlshöhe,Katzenbach,Kolbenmühle,Kreuzhof,Obermittweilerhof,Rockenhausen,Schacherhof,Simonshof,Spreiterhof,Teschenmoschel,Untermittweilerhof,Wolfsmühle";"67806"
"Bitterfeld,Friedersdorf";"06749"
"Bitz";"72475,72475"
